,cycle,peak_number,peak_left_border(V),peak (V),peak_right_border(V),capacity_under_peak,prominance,time_to_peak(s),const_current_time,fixed_time_to_peak,soc%
33,30.0,0.0,3.939258575439453,4.019606113433838,4.0905585289001465,0.2522063593750481,0.6229613482011447,870.4408991135424,3264.69599367809,1260.6356832105084,0.64
34,31.0,0.0,3.931159019470215,4.013612747192383,4.090396881103516,0.26594972784148396,0.705251116062031,900.4543364894344,3339.148923728369,1260.620206151856,0.65
35,32.0,0.0,3.936018705368042,4.007943153381348,4.085699081420898,0.25219574027267555,0.6430105676480218,780.3934764844016,3331.679780795984,1290.6354843105073,0.65
36,33.0,0.0,3.9421744346618652,4.015232563018799,4.075979232788086,0.2292721556410875,0.5599627692413698,810.4086141429725,3337.757970434776,1260.6356963132275,0.65
37,34.0,0.0,3.934884786605835,4.011830806732178,4.086994647979736,0.2567845184393569,0.694268791673661,840.4084529018728,3344.8832802091365,1260.6359232687391,0.65
38,35.0,0.0,3.940716505050659,4.018472194671631,4.071281433105469,0.22468555048097727,0.5665641838295634,870.4390151983243,3354.2603962776457,1260.6202549986774,0.65
39,36.0,0.0,3.934074878692627,4.013126850128174,4.082621097564697,0.2521920926375003,0.6818758179759072,870.4390234738821,3353.8989188797464,1260.6358561916277,0.65
40,37.0,0.0,3.933588743209839,4.010210990905762,4.085212707519531,0.2567807860226097,0.6758494200589991,840.4239509276813,3359.164695084287,1260.635658253159,0.65
41,38.0,0.0,3.939744472503662,4.0050272941589355,4.073549747467041,0.22926311666529742,0.5563583815429141,720.3635520720854,3358.2269682003607,1260.63569473417,0.64
42,39.0,0.0,3.933912754058838,4.01085901260376,4.086508750915527,0.25676899327623204,0.6836612007246698,840.4237589492113,3348.1645970202662,1230.6204412169755,0.64
43,40.0,0.0,3.931320905685425,4.01474666595459,4.097200393676758,0.27511415635988,0.7447371264546836,900.4539920609677,3334.867715555307,1260.6356682632468,0.64
44,41.0,0.0,3.935856580734253,4.018472194671631,4.086184978485107,0.25215528418590694,0.6381128854782658,900.4540013992228,3327.9926513148157,1260.6357849190244,0.64
45,42.0,0.0,3.939420461654663,4.018796443939209,4.086184978485107,0.2475689407619548,0.6381676336994122,870.4391800690792,3327.086415516364,1290.6506991456263,0.64
46,43.0,0.0,3.939582586288452,4.016204357147217,4.086022853851318,0.24756678646550512,0.6677265442536233,840.4237989690155,3325.9300126395783,1260.6356818871573,0.64
47,44.0,0.0,3.935694694519043,4.012802600860596,4.087804794311523,0.2567304308079805,0.7287563318289512,840.4238231893396,3338.4455259797496,1230.620332651306,0.64
48,45.0,0.0,3.940716505050659,4.013450622558594,4.071443557739258,0.22463891341865505,0.5647241776079812,810.4085135021014,3348.898651184105,1260.6356142787263,0.64
49,46.0,0.0,3.933750867843628,4.010696887969971,4.08926248550415,0.2613103464732518,0.7014444787213785,840.4240001452854,3342.773381186573,1260.6356164840981,0.64
50,47.0,0.0,3.934074878692627,4.013774871826172,4.081162929534912,0.247562212593067,0.6596712870791044,870.4387392203789,3331.679863146226,1230.6204798932886,0.64
51,48.0,0.0,3.935694694519043,4.016042709350586,4.086670875549316,0.2521562397796018,0.6615582355579266,870.4389798903139,3315.039509048706,1410.7117179813536,0.64
52,49.0,0.0,3.935856580734253,4.013612747192383,4.089910507202148,0.25674361369262044,0.6790731253520794,840.4236801076913,3313.2582360533174,1320.6669421288425,0.64
53,50.0,0.0,3.936342716217041,4.016366481781006,4.089748859405518,0.25674030611848764,0.6598394476697413,870.4387780321995,3319.6956999190293,1290.6361025764272,0.48
54,51.0,0.0,3.9300248622894287,3.992067813873291,4.070633888244629,0.256777808459164,0.8076318810746501,750.3788135291034,3354.243918880903,1230.6209265515645,0.65
55,52.0,0.0,3.9262990951538086,4.0050272941589355,4.077275276184082,0.256775284394101,0.7160644230206299,870.4396051586264,3428.6965533645393,1200.589967581509,0.64
56,53.0,0.0,3.931806802749634,4.013774871826172,4.080677032470703,0.252187293998809,0.6892935753911416,900.4389623222451,3358.962839026882,1200.589781898736,0.64
57,54.0,0.0,3.932778835296631,4.01118278503418,4.093312740325928,0.26595411598286,0.7328155508463388,840.423965854905,3306.274641722446,1170.5904391359945,0.63
58,55.0,0.0,3.938610553741455,4.016852378845215,4.0850510597229,0.24302226378620873,0.6324498306574242,840.4082213497459,3269.228136677951,1230.6215193840762,0.63
59,56.0,0.0,3.9467101097106934,4.016042709350586,4.072415828704834,0.210920061334821,0.5225502525998238,750.3627494725297,3249.8197754900675,1230.6216929065413,0.63
60,57.0,0.0,3.9442801475524902,4.017338275909424,4.086508750915527,0.23384603061918252,0.5986920451154687,780.3936190547975,3234.010417766202,1230.621729307284,0.64
61,58.0,0.0,3.934884786605835,4.013288497924805,4.090234756469727,0.2567720818257886,0.6444302372441995,840.4245025575219,3311.276784581573,1200.6063682971726,0.63
62,59.0,0.0,3.933750867843628,4.017338275909424,4.085860729217529,0.25218041697024685,0.64162390604772,900.4549949855864,3319.9645671739563,1170.591083045816,0.63
63,60.0,0.0,3.937476634979248,4.013288497924805,4.084726810455322,0.2430025716278985,0.6283055560561572,810.409461499803,3294.7150922884725,1170.5908740749874,0.63
64,61.0,0.0,3.935532808303833,4.012640476226807,4.099468231201172,0.26594366394714,0.7174326221901541,810.4092716416199,3245.527453021762,1140.5757126322715,0.63
65,62.0,0.0,3.940230369567871,4.019282341003418,4.085536956787109,0.2384369282446066,0.6088834705112325,840.4243025390315,3231.0900415500946,1170.591201776755,0.63
66,63.0,0.0,3.93682861328125,4.011668682098389,4.095742225646973,0.25676854982474495,0.663981515730683,780.3938829274557,3217.0900694168545,1260.637891885155,0.62
67,64.0,0.0,3.941850423812866,4.019282341003418,4.086184978485107,0.23384678211772503,0.5814067448096449,810.4091356526769,3181.6062288079524,1140.5748026593064,0.62
68,65.0,0.0,3.9250032901763916,4.016528606414795,4.125386714935303,0.3118004963254215,0.9023040511194713,930.4698389019468,3211.6218778609764,1080.5446761933854,0.64
69,66.0,0.0,3.9300248622894287,4.00729513168335,4.07759952545166,0.23842217764269336,0.5103887806015128,810.4099549797247,3335.3414681124495,1050.5292223067663,0.62
70,67.0,0.0,3.9439563751220703,4.016528606414795,4.0900726318359375,0.23385151509256907,0.5883331185691913,750.3781275243964,3141.6197819187823,1020.5142771530664,0.61
71,68.0,0.0,3.9493019580841064,4.026410102844238,4.09655237197876,0.22927611527279979,0.4996503724784136,780.3934010414523,3052.557808126407,1020.5140572199307,0.61
72,69.0,0.0,3.9489779472351074,4.036291599273682,4.104651927947998,0.23844465144520477,0.5088723498482368,870.4384773477796,3014.746394980567,990.4987043801812,0.6
73,70.0,0.0,4.011020660400391,4.025114059448242,4.016690254211426,0.009170955885815957,0.000298974759082693,150.07562458360917,2981.1239472354177,1050.5293699396716,0.6
75,71.0,0.0,3.936018705368042,4.0371012687683105,4.147255897521973,0.3072257269424892,0.76659669716972,960.4838379626453,2966.7312482811008,990.4992191180354,0.6
76,72.0,0.0,3.967931032180786,4.028029918670654,4.0895867347717285,0.18800712145386989,0.35044488399088625,600.302428800991,2948.2469564834664,960.4837637227029,0.6
77,73.0,0.0,3.934236764907837,4.029163837432861,4.15195369720459,0.31638848967715383,0.7996834842664573,900.453511302796,2987.9189267852184,900.4535115183098,0.6
78,74.0,0.0,3.9471960067749023,4.027544021606445,4.1185832023620605,0.2567751563562961,0.5891333247531716,780.3954820279032,2974.6869877567938,870.4383311634301,0.6
79,75.0,0.0,3.964043140411377,4.039693355560303,4.0874810218811035,0.1880031258557615,0.33706286432127364,750.3776616382529,2929.7163523813197,840.42322574032,0.59
80,76.0,0.0,3.9742486476898193,4.042284965515137,4.090882778167725,0.17424778959757958,0.29333493672731326,660.3326150759822,2837.9052520196487,840.4230780572398,0.58
81,77.0,0.0,3.9481680393218994,4.048440933227539,4.161187171936035,0.293470204012273,0.6468539996009972,900.4534662254155,2761.390699211111,840.4231231246376,0.57
82,78.0,0.0,3.9851021766662598,4.043581008911133,4.10400390625,0.1696584525300544,0.22684222526331776,540.2719465383561,2684.719902900691,840.4076374243596,0.57
83,79.0,0.0,3.9481680393218994,4.057026386260986,4.1730122566223145,0.29806265964514367,0.7274850460003638,930.4708276863093,2639.345658672769,810.4079363536439,0.56
84,80.0,0.0,3.989961862564087,4.064477920532227,4.103032112121582,0.16049219539581117,0.2153343648936481,690.3477468247293,2662.4705461276567,780.3751353076077,0.57
85,81.0,0.0,3.9504358768463135,4.055244445800781,4.171230316162109,0.2934752586674456,0.6286077668286922,900.4532058715704,2652.7987771283815,750.3781023917836,0.56
86,82.0,0.0,3.994335651397705,4.053462505340576,4.102059841156006,0.1513270441443595,0.202732883234382,540.2565977644408,2635.81464417317,720.3627291512094,0.55
87,83.0,0.0,3.986721992492676,4.065288066864014,4.122470855712891,0.18342510399070378,0.2615490128840918,690.3475880791666,2540.409966315664,720.3493466577493,0.55
88,84.0,0.0,3.965663194656372,4.0628581047058105,4.168314456939697,0.26138345820471187,0.5277871850830013,810.4079166496522,2491.2387772278603,720.3627143692574,0.54
89,85.0,0.0,3.9580495357513428,4.062047958374023,4.171716213226318,0.27055704915058953,0.6144811392792064,840.4231326884474,2465.1769544564913,720.3469304609462,0.54
90,86.0,0.0,4.008914947509766,4.053948402404785,4.112103462219238,0.1375648973431467,0.14807591531176278,390.1964912165422,2440.958379766495,750.3779021778028,0.54
91,87.0,0.0,4.01085901260376,4.0594563484191895,4.107405662536621,0.1283969861822598,0.142556114890241,420.19521666073706,2416.865011880379,720.362871861842,0.54
92,88.0,0.0,3.9716567993164062,4.0607523918151855,4.167990684509277,0.24762533387050212,0.501083748356977,720.3627411960624,2401.209023650483,720.3629067637958,0.54
93,89.0,0.0,3.969226837158203,4.060914039611816,4.168314456939697,0.25221488696383787,0.5207076524774232,750.3623690894456,2430.4429714334187,690.3451665087487,0.54
94,90.0,0.0,4.004703044891357,4.060266017913818,4.101412296295166,0.12839630857036255,0.15428302321780452,480.2417024492752,2435.2398543967274,690.3478044633521,0.53
95,91.0,0.0,3.995469570159912,4.067555904388428,4.135106563568115,0.1788175796934688,0.2287242771520921,600.2867659343174,2358.3036885638053,690.34779090964,0.53
96,92.0,0.0,3.992067813873291,4.068527698516846,4.148065567016602,0.19715573860959168,0.2852454421415571,630.303976103256,2345.181452037771,690.3320590059739,0.52
97,93.0,0.0,4.013288497924805,4.063506126403809,4.109997749328613,0.12379883210985909,0.1254935785580482,420.21159470488783,2318.94518982464,660.3327292405884,0.52
98,94.0,0.0,4.002273082733154,4.064154148101807,4.121984958648682,0.15130816497239152,0.19196949813505548,510.2568949292763,2307.5389548123785,630.3175805547507,0.52
99,95.0,0.0,4.010372638702393,4.057836532592773,4.104651927947998,0.11921148527052239,0.11860371764319022,390.1966310500866,2291.8963142389493,630.3173698795727,0.52
100,96.0,0.0,3.9744107723236084,4.06690788269043,4.167828559875488,0.2338369352351286,0.49817161146197586,720.362775947724,2274.8677484885407,600.3022895839531,0.51
101,97.0,0.0,4.01507043838501,4.066259860992432,4.106109619140625,0.11462116377772347,0.10858882943516113,420.21138573408825,2250.961724235402,630.3176145844257,0.51
102,98.0,0.0,3.9781365394592285,4.075817584991455,4.1704206466674805,0.22924834956542028,0.45192816646056455,750.377870799508,2228.3528614878624,750.3780374197995,0.51
103,99.0,0.0,3.9700369834899902,4.071605682373047,4.1746320724487305,0.23841936303398015,0.5286716378686814,750.3778409099905,2195.165704751843,630.317509442375,0.5
104,100.0,0.0,4.017500400543213,4.074521541595459,4.119879245758057,0.12379135014714038,0.1428619091716019,450.2266573663801,2157.0724744860267,600.3023676335579,0.5
105,101.0,0.0,3.9776504039764404,4.030783653259277,4.109025478363037,0.178839766544369,0.36719683562422123,480.2421050576051,2177.354620198803,540.2583032450057,0.53
106,102.0,0.0,3.958859443664551,4.056540489196777,4.1707444190979,0.26137800312829707,0.5495803127918714,780.392974844226,2406.0377408444897,510.25739837402944,0.51
107,103.0,0.0,4.021226406097412,4.077437400817871,4.103194236755371,0.10087818387303193,0.08187697507981673,450.22679952574254,2207.6031988490545,540.2721148628116,0.49
108,104.0,0.0,4.023818016052246,4.094122409820557,4.136726379394531,0.132980573378622,0.0939605325847821,540.2721805816,2087.6991658352354,510.2570440709824,0.48
109,105.0,0.0,3.9993574619293213,4.091368675231934,4.1722025871276855,0.19259435136303704,0.2860679528015766,660.3170531709911,2000.604997048413,510.25705136416946,0.47
110,106.0,0.0,3.992715835571289,4.084078788757324,4.170096397399902,0.19259497119008406,0.3446924514584936,630.3173499398399,1950.9826413596193,540.2722191376961,0.47
112,107.0,0.0,3.995631694793701,4.108701705932617,4.1709065437316895,0.18801364695845368,0.35021308562779396,780.3930551694211,1914.3425706445296,450.22685397643363,0.46
113,108.0,0.0,3.99611759185791,4.101736068725586,4.172364234924316,0.18800929454695536,0.35561421953113126,720.3628154963226,1903.061578445896,420.2119527622708,0.47
114,109.0,0.0,4.047307014465332,4.091854572296143,4.1200408935546875,0.08253801561181984,0.035638090285630364,330.166519125356,1955.373560641522,390.18084265054495,0.47
115,110.0,0.0,3.988503932952881,4.0879669189453125,4.1736602783203125,0.20176277687014466,0.3691727688675899,690.3322872447461,1987.4354572380391,390.1982960898604,0.46
116,111.0,0.0,4.002758979797363,4.112103462219238,4.1704206466674805,0.17883644381510777,0.3348862222011346,750.3780602316838,1886.2947195494924,390.1964296782098,0.45
117,112.0,0.0,4.0894246101379395,4.123604774475098,4.123604774475098,0.03668572271679338,0.013304995863329339,240.12083462321607,1790.376141299084,390.19633364886977,0.44
118,113.0,0.0,4.011668682098389,4.128140926361084,4.176576137542725,0.16508534631804306,0.31447497424666737,750.3618985718203,1716.455184434668,390.1988897995907,0.43
119,114.0,0.0,4.016852378845215,4.1443400382995605,4.175928115844727,0.15591557125731814,0.3162214769636209,810.3925272043416,1659.4111990160093,390.19651198832435,0.42
120,115.0,0.0,4.021064281463623,4.146121978759766,4.173336505889893,0.14674598628326052,0.2994229468443481,780.3770248068031,1613.1129004954655,390.18089143710677,0.42
121,116.0,0.0,4.0311079025268555,4.133162498474121,4.1743083000183105,0.1375753564953932,0.2729128436828612,630.3173579899012,1577.8323726946387,360.18136846023845,0.41
122,117.0,0.0,4.0322418212890625,4.149361610412598,4.1722025871276855,0.13298884405817013,0.27079304576466334,720.3626392370206,1558.0201818991177,360.18130112744984,0.42
123,118.0,0.0,4.026571750640869,4.131866455078125,4.1726884841918945,0.14216022421848962,0.28441143289565485,660.3323839299846,1619.5192772224625,330.1660976399435,0.42
125,119.0,0.0,4.024142265319824,4.142881870269775,4.1744704246521,0.14674830326878485,0.29484554451095535,750.3778056171141,1637.690939325704,330.16609255221556,0.42
126,120.0,0.0,4.023169994354248,4.140937805175781,4.172364234924316,0.14674380220439254,0.287067125327356,750.375717588031,1650.8157730597798,300.1510671986325,0.42
127,121.0,0.0,4.028029918670654,4.130570411682129,4.171878337860107,0.13757756366682905,0.2585658667905151,630.3175033722655,1590.8011942283076,300.1511133436579,0.4
128,122.0,0.0,4.0335373878479,4.140290260314941,4.173822402954102,0.12840745814887455,0.2671592029874883,630.317350325844,1483.380925771924,330.16607461252715,0.39
129,123.0,0.0,4.030783653259277,4.15972900390625,4.1741461753845215,0.1284084951539537,0.2969457050749308,750.3620477887162,1448.943986919322,330.1662247266213,0.39
130,124.0,0.0,4.038559436798096,4.152925491333008,4.172364234924316,0.11923925419976555,0.2547673807130324,660.3323361508374,1429.53814256416,330.16846727073425,0.38
131,125.0,0.0,4.041637420654297,4.155679225921631,4.1704206466674805,0.11464495387912521,0.23707542156797468,660.3168252529285,1410.6945536926646,300.1512445206172,0.38
132,126.0,0.0,4.039693355560303,4.157299041748047,4.1720404624938965,0.1146490921789951,0.2484729623239078,660.3324699544173,1366.5234388734227,300.15117889700923,0.38
133,127.0,0.0,4.045200824737549,4.160862922668457,4.1709065437316895,0.11006344839379878,0.2457611058107736,660.332478530705,1376.320176823776,270.1358137264615,0.39
134,129.0,0.0,4.01863431930542,4.160377025604248,4.174956321716309,0.13757762938512386,0.3498135519203984,810.4080828136939,1443.3347773331225,270.1359767979593,0.38
135,130.0,0.0,4.0335373878479,4.158595085144043,4.173336505889893,0.12382053428641626,0.26038564172500667,720.3627190508996,1422.6165276651038,240.12085604161257,0.38
136,131.0,0.0,4.01118278503418,4.161187171936035,4.1764140129089355,0.1375813382731632,0.40016903268010695,810.4078301189002,1371.070066287902,240.12097747420194,0.37
137,132.0,0.0,4.043581008911133,4.157947063446045,4.1731743812561035,0.11006745643135396,0.24598873636533813,630.3172053695307,1327.289757698032,240.1207349948818,0.36
138,133.0,0.0,4.04827880859375,4.158432960510254,4.1688008308410645,0.10089198953425083,0.23259780068306402,600.3021593895392,1290.6497207771677,210.10576847795164,0.36
139,134.0,0.0,4.051194667816162,4.157623291015625,4.168152809143066,0.09630746307525939,0.22082288092974578,570.2870922618313,1260.6345915898085,210.10575110971695,0.36
140,135.0,0.0,4.046010971069336,4.15972900390625,4.170096397399902,0.10089614568586569,0.22967641761498858,600.3022769425297,1249.9604413831394,210.10568089963635,0.35
141,136.0,0.0,4.048926830291748,4.158109188079834,4.1688008308410645,0.09630860638177552,0.2250962549150599,570.2872027723351,1226.7915473854066,270.13624014431844,0.35
142,137.0,0.0,4.049088954925537,4.158595085144043,4.169286727905273,0.09631105757855352,0.22446279445493156,570.287063695665,1223.6662033213547,300.15129492618144,0.34
143,138.0,0.0,4.080353260040283,4.164264678955078,4.169610500335693,0.07337436074525172,0.11903149722870776,450.21098734188126,1190.8076089187666,330.1664715766674,0.34
144,141.0,0.0,4.159891128540039,4.185323715209961,4.175118446350098,0.013756616874491812,0.001046951860966483,150.07563886919525,1287.6191082181745,330.1660686627729,0.37
145,143.0,0.0,4.105462074279785,4.165074825286865,4.165074825286865,0.05502912217414391,0.020824243528973718,360.1815107950242,1410.133184442765,330.16639612877043,0.38
146,144.0,0.0,4.096714496612549,4.151143550872803,4.160862922668457,0.05961430983682092,0.01889684685204729,330.1666717357002,1437.2421711438508,330.1663537683198,0.37
147,145.0,0.0,4.109025478363037,4.133486270904541,4.1189069747924805,0.009170679409965743,0.0007628594659971899,150.0733301100554,1426.8830546330855,390.19677651760867,0.37
149,146.0,0.0,4.0322418212890625,4.156975269317627,4.171878337860107,0.12380997595311527,0.25281737042443764,720.363184100017,1431.695911287748,330.16652961156797,0.24
150,147.0,0.0,4.0631818771362305,4.110321521759033,4.14838981628418,0.08253687061676374,0.02870001522072374,300.15139134647325,1585.3961724058422,330.16434603428934,0.37
151,149.0,0.0,4.096228122711182,4.140937805175781,4.165398597717285,0.06419747515329277,0.013937211991820742,270.13614797452465,1440.0081811769332,90.04516400991704,0.37
152,150.0,0.0,4.117125511169434,4.136888027191162,4.117125511169434,0.0,8.345478067495193e-06,120.06056954100495,1431.195679801968,240.12089215660671,0.37
153,151.0,0.0,4.040989398956299,4.102707862854004,4.1743083000183105,0.12839836614550998,0.2598679025977574,390.18088956244793,1259.3679250269902,180.0906212506561,0.35
154,153.0,0.0,4.055892467498779,4.157299041748047,4.168476581573486,0.08712982815964898,0.20370734052291728,510.2568437016125,1132.1524946913846,150.0750533398641,0.3
155,154.0,0.0,4.072739601135254,4.161348819732666,4.16718053817749,0.06878458575546897,0.19112139821875973,420.21172583669977,1011.5296235066628,120.06035388352757,0.28
156,156.0,0.0,4.078571319580078,4.168314456939697,4.168314456939697,0.059616309272599866,0.18663737744222286,390.1962761956602,875.8911590984453,90.04535444454086,0.26
157,157.0,0.0,4.0894246101379395,4.168152809143066,4.168152809143066,0.05044255867424985,0.18540142786191227,330.1661959148187,812.8767632449336,90.0453890858771,0.26
158,158.0,0.0,4.089910507202148,4.162482738494873,4.162482738494873,0.04585925521360501,0.15236193014281996,300.15119221522036,808.6110861150097,90.04528569319518,0.25
159,159.0,0.0,4.082458972930908,4.167018890380859,4.167018890380859,0.05044408321646365,0.2036833630953644,330.1660813693379,752.2214642817484,60.030202555601136,0.24
160,160.0,0.0,4.095094203948975,4.170582294464111,4.163940906524658,0.04127341309363963,0.14582214237177948,300.15106880764506,735.1436062999321,60.03021449033986,0.24
161,162.0,0.0,4.0610761642456055,4.162321090698242,4.168476581573486,0.07337414824595268,0.20373770289294946,450.22673851868603,934.51517942526,30.015110455686226,0.24
162,165.0,0.0,4.097686290740967,4.16361665725708,4.16361665725708,0.04127293970446022,0.15099996360089696,270.13575746629795,770.9869242720318,120.06070164025004,0.24
163,167.0,0.0,4.099630355834961,4.168314456939697,4.161673069000244,0.036685128328667105,0.13369982829054816,270.13602307830297,715.3784942491286,30.015079493517987,0.24
164,168.0,0.0,4.100278377532959,4.165722846984863,4.165722846984863,0.04127261490534817,0.14803610299483028,270.13817957794527,763.8152813812889,120.06061261336436,0.24
165,169.0,0.0,4.098658084869385,4.16361665725708,4.16361665725708,0.0412704917414386,0.14328425260596056,270.1360368375899,773.4556150741076,60.030234770893,0.23
166,170.0,0.0,4.099954128265381,4.168476581573486,4.161673069000244,0.03668719018869737,0.13508924561550084,270.1360951829556,714.5659600188162,60.030284981025034,0.21
167,171.0,0.0,4.100925922393799,4.1688008308410645,4.1688008308410645,0.036685475696843994,0.11548912790705246,240.12087077832257,613.2237886355224,60.03014853596687,0.21
168,172.0,0.0,4.105623722076416,4.166208744049072,4.166208744049072,0.03210135543691983,0.09712768352970014,210.10587088821921,590.896034301644,60.030239502724726,0.2
169,173.0,0.0,4.101898193359375,4.1741461753845215,4.166208744049072,0.032100949776277865,0.09511017957734547,240.12093474777066,557.6311519193991,60.02999976016872,0.2
170,174.0,0.0,4.108053684234619,4.168476581573486,4.168476581573486,0.03210090319351622,0.10695103665754191,210.10577119971276,581.9743166862025,60.029997509584064,0.2
171,175.0,0.0,4.106109619140625,4.173822402954102,4.166370868682861,0.03210060618458588,0.09682555866094722,240.1208221972338,592.4429559964835,30.015106039660168,0.21
172,177.0,0.0,4.102707862854004,4.170258522033691,4.170258522033691,0.036685325076146746,0.11707230272269231,240.12087952511501,608.3647902915728,0.0,0.21
173,178.0,0.0,4.09655237197876,4.1710686683654785,4.163940906524658,0.03668715358475794,0.13585797214901413,270.13593483838486,637.5203589746753,0.0,0.21
174,179.0,0.0,4.112427711486816,4.169772624969482,4.169772624969482,0.032100262826840975,0.10907401269753275,210.1058067182894,611.5052425448811,0.0,0.21
175,180.0,0.0,4.106271743774414,4.1699347496032715,4.1699347496032715,0.03668605573739914,0.11367568475844858,240.12103844620287,644.2701013846047,0.0,0.21
176,182.0,0.0,4.107081890106201,4.168152809143066,4.161510944366455,0.03209675984638416,0.12588891962599214,240.12093862242182,686.1135459984886,30.01506535327644,0.22
177,183.0,0.0,4.103032112121582,4.166694641113281,4.166694641113281,0.03668375407648661,0.11602537495649234,240.12082629749784,658.8952753682254,30.01523218402872,0.22
178,185.0,0.0,4.117611408233643,4.174956321716309,4.167666435241699,0.027512374153792152,0.06332500058929025,210.0899993564817,588.1307900771924,30.015050240588607,0.2
179,186.0,0.0,4.121822834014893,4.171716213226318,4.164426803588867,0.02292632457555399,0.05386750925535477,180.09078617670457,570.146563235294,30.015084856859175,0.2
